longitude,latitude,adcode,province,district,address
79.8155,37.57217,659009,新疆维吾尔自治区,昆玉市,新疆维吾尔自治区昆玉市普恰克其乡
78.46217,37.68017,659009,新疆维吾尔自治区,昆玉市,新疆维吾尔自治区昆玉市兵团皮山农场306乡道
78.765,39.68133,659003,新疆维吾尔自治区,图木舒克市,新疆维吾尔自治区图木舒克市兵团图木舒克市喀拉拜勒镇
80.73167000000001,40.42183,659002,新疆维吾尔自治区,阿拉尔市,新疆维吾尔自治区阿拉尔市兵团十六团
81.7635,40.76267,659002,新疆维吾尔自治区,阿拉尔市,新疆维吾尔自治区阿拉尔市兵团十四团康其库都克
82.86583,38.134170000000005,653227,新疆维吾尔自治区,民丰县,新疆维吾尔自治区和田地区民丰县尼雅乡
82.46267,37.213330000000006,653227,新疆维吾尔自治区,民丰县,新疆维吾尔自治区和田地区民丰县尼雅乡
83.20833,37.565000000000005,653227,新疆维吾尔自治区,民丰县,新疆维吾尔自治区和田地区民丰县亚瓦通古孜乡
83.13933,37.915169999999996,653227,新疆维吾尔自治区,民丰县,新疆维吾尔自治区和田地区民丰县亚瓦通古孜乡685县道
83.0805,39.15333,653227,新疆维吾尔自治区,民丰县,新疆维吾尔自治区和田地区民丰县亚瓦通古孜乡
82.91633,39.394670000000005,653227,新疆维吾尔自治区,民丰县,新疆维吾尔自治区和田地区民丰县尼雅乡
84.31017,35.53767,653227,新疆维吾尔自治区,民丰县,新疆维吾尔自治区和田地区民丰县叶亦克乡
83.956,35.466,653227,新疆维吾尔自治区,民丰县,新疆维吾尔自治区和田地区民丰县叶亦克乡
83.455,37.73433,653227,新疆维吾尔自治区,民丰县,新疆维吾尔自治区和田地区民丰县安迪尔乡
83.30682999999999,36.52417,653227,新疆维吾尔自治区,民丰县,新疆维吾尔自治区和田地区民丰县叶亦克乡
83.20267,36.922999999999995,653227,新疆维吾尔自治区,民丰县,新疆维吾尔自治区和田地区民丰县叶亦克乡
83.47433,36.1675,653227,新疆维吾尔自治区,民丰县,新疆维吾尔自治区和田地区民丰县叶亦克乡
83.588,38.134330000000006,653227,新疆维吾尔自治区,民丰县,新疆维吾尔自治区和田地区民丰县安迪尔乡
82.71933,37.3205,653227,新疆维吾尔自治区,民丰县,新疆维吾尔自治区和田地区民丰县尼雅乡
84.4925,35.946,653227,新疆维吾尔自治区,民丰县,新疆维吾尔自治区和田地区民丰县叶亦克乡
83.52550000000001,37.94267,653227,新疆维吾尔自治区,民丰县,新疆维吾尔自治区和田地区民丰县安迪尔乡
83.36,36.75517,653227,新疆维吾尔自治区,民丰县,新疆维吾尔自治区和田地区民丰县叶亦克乡
83.72433,35.492169999999994,653227,新疆维吾尔自治区,民丰县,新疆维吾尔自治区和田地区民丰县叶亦克乡
83.23417,36.59133,653227,新疆维吾尔自治区,民丰县,新疆维吾尔自治区和田地区民丰县叶亦克乡阿特乌特力尕克
83.336,36.1085,653227,新疆维吾尔自治区,民丰县,新疆维吾尔自治区和田地区民丰县叶亦克乡
82.91133,37.145,653227,新疆维吾尔自治区,民丰县,新疆维吾尔自治区和田地区民丰县萨勒吾则克乡
82.61749999999999,36.55267,653227,新疆维吾尔自治区,民丰县,新疆维吾尔自治区和田地区民丰县叶亦克乡
83.7255,37.558499999999995,653227,新疆维吾尔自治区,民丰县,新疆维吾尔自治区和田地区民丰县安迪尔乡G0612西和高速
82.85016999999999,38.30433,653227,新疆维吾尔自治区,民丰县,新疆维吾尔自治区和田地区民丰县尼雅乡
83.74217,36.23383,653227,新疆维吾尔自治区,民丰县,新疆维吾尔自治区和田地区民丰县叶亦克乡
82.59,38.337669999999996,653227,新疆维吾尔自治区,民丰县,新疆维吾尔自治区和田地区民丰县尼雅乡
82.75417,36.723330000000004,653227,新疆维吾尔自治区,民丰县,新疆维吾尔自治区和田地区民丰县叶亦克乡
83.91082999999999,37.863330000000005,653227,新疆维吾尔自治区,民丰县,新疆维吾尔自治区和田地区民丰县安迪尔乡
82.70383,36.39,653227,新疆维吾尔自治区,民丰县,新疆维吾尔自治区和田地区民丰县叶亦克乡
84.115,35.61683,653227,新疆维吾尔自治区,民丰县,新疆维吾尔自治区和田地区民丰县叶亦克乡
84.56183,35.815,653227,新疆维吾尔自治区,民丰县,新疆维吾尔自治区和田地区民丰县叶亦克乡
84.51917,36.13083,653227,新疆维吾尔自治区,民丰县,新疆维吾尔自治区和田地区民丰县叶亦克乡
82.82583,36.63467,653227,新疆维吾尔自治区,民丰县,新疆维吾尔自治区和田地区民丰县叶亦克乡
82.61082999999999,36.835,653227,新疆维吾尔自治区,民丰县,新疆维吾尔自治区和田地区民丰县尼雅乡
83.73767000000001,37.40267,653227,新疆维吾尔自治区,民丰县,新疆维吾尔自治区和田地区民丰县安迪尔乡
83.14582999999999,35.96767,653227,新疆维吾尔自治区,民丰县,新疆维吾尔自治区和田地区民丰县叶亦克乡
82.76217000000001,37.13667,653227,新疆维吾尔自治区,民丰县,新疆维吾尔自治区和田地区民丰县尼雅乡其格力克厄格勒
82.75517,39.3305,653227,新疆维吾尔自治区,民丰县,新疆维吾尔自治区和田地区民丰县尼雅乡
82.96583,37.53833,653227,新疆维吾尔自治区,民丰县,新疆维吾尔自治区和田地区民丰县亚瓦通古孜乡
83.27600000000001,38.28917,653227,新疆维吾尔自治区,民丰县,新疆维吾尔自治区和田地区民丰县安迪尔乡
82.89383,38.2605,653227,新疆维吾尔自治区,民丰县,新疆维吾尔自治区和田地区民丰县尼雅乡
82.34267,37.16717,653226,新疆维吾尔自治区,于田县,新疆维吾尔自治区和田地区于田县奥依托格拉克乡
