product_id,product_title,product_level,product_type,travel_day,product_price,departure_code,des_city_code,toursim_tickets_type,shop_id
210153157,<庐山动车2日游>动车直达接送站，纯玩宿云中小镇，夜游牯岭镇，全程不换导不下山拒绝大散拼，观云海星河，纯玩0购 珍藏庐山明信片,5,Y002,2天1晚,665.0,420100,360400,03001,2126724306b9f5863743bfeb472b2d3b
210763705,<安徽2日游>门票已含（船游万佛湖、皖西大裂谷），九曲十弯霍山大峡谷漂流，宿商务酒店，可升级高端酒店， 占床含早，纯玩0购物0自理,4,Y002,2天1晚,458.0,320100,340100,03001,67668afa1313b5f30cfb4760ec4bf876
210025263,<浙西-大明山2日游>（龙井峡皮筏漂流、浙西大龙湾、大明山门票全含）可自选三渡悬崖玻璃漂流，宿高星临安索菲亚/祺欣/香格里大酒店 含自助早餐,5,Y002,2天1晚,504.0,310000,330100,03001,9ccad8ef2cac95571e925cd50ec1c33a
210025892,<扬州瘦西湖-镇江南山-东关街2日游>宿五星金陵/扬州明发国际/同级 丰富自助早餐 东关街西津渡 含自助早享免费泳池健身房 烟雨江南门票全含,4,Y002,2天1晚,371.0,310000,321000,03001,9ccad8ef2cac95571e925cd50ec1c33a
210030016,<桐庐2日游>游富春江小三峡 瑶琳仙境震撼裸眼3D灯光秀 行山湾湾雾蒙蒙徽商古道 可挑战云飘飘玻璃桥 宿商务 住宿可升级,5,Y002,2天1晚,378.0,320100,330100,03001,67668afa1313b5f30cfb4760ec4bf876
210093192,<平遥古城-壶口瀑布-王家大院2日游>赏古城夜景，住特色客栈，品山西小吃，全程无购物,4,Y002,2天1晚,370.0,140100,141000,03001,c3a7fe45aa551854b9bd1064850aa62e
210143257,<北戴河-承德避暑山庄-塞罕坝-坝上草原双高6日游>自营纯玩，全程商务酒店，海景旅拍，超8000人出游，4小时直达坝上，畅游2大草原/避暑山庄深度游,4,Y002,6天5晚,2079.0,320100,130300,03001,9ccad8ef2cac95571e925cd50ec1c33a
210603267,<浙江嘉兴-西塘景区内小河时光客栈-西塘自驾游>含西塘门票2张，游水墨西塘，品赏江南水乡古韵，错峰更有趣,4,Y006,2天1晚,262.0,310000,330400,03001,-1
210680333,<桂林-阳朔-漓江汽车4日游>2人起订/1单1团/VIP服务/纯玩/大美龙脊梯田/象鼻山/王府探秘/银子岩/世外桃源/可DIY行程,4,Y002,4天3晚,1678.0,450300,450300,03001,06bc2db8c1d0f1f082042ebf80171123
210840494,<广东潮州-汕头-南澳岛2日游>深圳往返潮汕纯玩 品沙爹牛肉火锅宴,5,Y002,2天1晚,632.0,440300,440500,03001,618fa66ac24cc52ebde781635ea2dc5c
210488731,<惠州巽寮湾2日游>住海公园度假酒店海景房，超大阳台，一线海滨酒店，拥抱大海,5,Y002,2天1晚,218.0,440300,441300,03001,ca3ba091f3d30e727ffbd1817a8b0e53
210767764,<宜昌-三峡大瀑布-神农架动车3日游>乘车穿越三峡专用公路，乘船经西陵峡美景直上神农架，走进神奇北纬30，休闲之旅,4,Y002,3天2晚,935.0,420100,420500,03001,6cc6b7ae6b398bc1a3d159daeb19c5a5
210041147,<云台山-龙门石窟-少林寺-开封府3日游>清明上河园里观民俗表演，升级入住中州国际饭店、0购物店，服务型导游，火车站可上下,5,Y002,3天2晚,1123.0,410100,410800,03001,16455bb6ef6c73bd88cf85f2435a4986
